authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Carrano","M. Carrano","R. Benson",31216,"J. B.",Delair,,,,1960,"The Mesozoic reptiles of Dorset. Part two","Proceedings of the Dorset Natural History and Archaeological Society",,80,,52,90,"journal article","stated without evidence",English,,"issue date 1959, published 1960",ETE,,"2009-11-20 12:26:33","2013-03-15 04:06:33"
"M. Carrano","M. Carrano",,27912,"J. B.",Delair,"W. A. S.",Sarjeant,,2002,"The earliest discoveries of dinosaurs: the records re-examined","Proceedings of the Geologists' Association",,113,,185,197,"journal article","stated without evidence",English,,,ETE,,"2008-08-07 13:38:58","2008-08-08 06:38:58"
"L. Villier","L. Villier",,15196,M,Delamette,J,Charollais,"D Decrouez, M Caron",1997,"Les grès verts helvétiques (Aptien moyen-Albien supérieur) de Haute-Savoie, Valais et Vaud (Alpes occidentales franco-suisses)","Publications du Département de Géologie et Paléontologie. Section des Sciences de la Terre",,23,,1,400,"serial monograph","stated without evidence",French,,,1%,,"2005-11-18 06:01:13","2005-11-19 01:01:13"
"W. Kiessling","U. Merkel",,30394,M.,Delfino,C.,"Dal Sasso",,2006,"Marine reptiles (Thalattosuchia) from the Early Jurassic of Lombardy (northern Italy)",Geobios,,39,,346,354,"journal article","stated without evidence",English,,,,,"2009-07-21 05:02:43","2009-07-21 22:02:43"
"L. Villier","J. Millet",,16607,D.,Delsate,"W. M.",Jagt,,1996,"A note on an early Jurassic ophiuroid from Rachecourt (Lorraine, Belgium)","Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Sciences de Terre",,66,,203,207,"journal article","stated without evidence",English,,,,,"2006-02-12 08:10:46","2006-02-13 03:10:46"
"M. Aberhan","T. Schossleitner","T. Schossleitner",45978,D.,Delsate,R.,Weis,,2010,"La Couche à Crassum (Toarcien moyen) au Luxembourg: stratigraphie et faunes de la coupe de Dudelange-Zoufftgen",Ferrantia,,62,,35,62,"journal article","stated without evidence",French,,,,,"2013-03-26 20:14:19","2013-03-26 22:12:34"
"M. Uhen","M. Uhen",,15521,"T. A.",Demere,A.,Berta,"M. R. McGowen",2005,"The taxonomic and evolutionary history of modern balaenopteroid mysticetes","Journal of Mammalian Evolution",,12,1/2,99,143,"journal article","stated without evidence",English,,,,,"2005-12-19 10:40:59","2005-12-20 05:40:59"
"M. Uhen","M. Uhen",,40942,"T. A.",Demere,"M. A.",Roeder,"R. M. Chandler, J. A. Minch",1984,"Paleontology fo the Middle Miocene Los Indios Member of the Rosarito Beach Formation, Northwestern Baja California, Mexico","AAPG Pacific Section",,54,,47,56,"journal article","stated without evidence",English,,,,,"2012-03-29 00:35:40","2012-03-29 00:35:40"
"J. Alroy","J. Alroy","J. Alroy",299,"S. S.",Dennison,"P. L.",Smith,"H. W. Tipper",1990,"An Early Jurassic ichthyosaur from the Sandilands Formation, Queen Charlotte Islands, British Columbia","Journal of Paleontology",,64,5,850,853,"journal article","stated without evidence",English,,,,,"1999-08-28 16:04:41","2009-11-23 09:28:41"
"J. Alroy","J. Alroy",,26916,"R. K.",Denton,"R. C.","O'Neill",,1995,"Prototeius stageri, gen. et sp. nov., a new teiid lizard from the Upper Cretaceous Marshalltown Formation of New Jersey, with a preliminary phylogenetic revision of the Teiidae","Journal of Vertebrate Paleontology",,15,2,235,253,"journal article","stated with evidence",English,,,,,"2008-04-01 20:35:53","2008-04-02 14:35:53"
"M. Carrano","M. Carrano","J. Alroy",10535,"R. K.","Denton, Jr.",,,,1990,"A revision of the theropod Dryptosaurus (Laelaps) aquilunguis (Cope 1869)","Journal of Vertebrate Paleontology",,10,"3, suppl.",20A,,abstract,"stated without evidence",English,,,,,"2004-05-17 10:42:39","2008-04-02 14:16:15"
"M. Carrano","M. Carrano","M. Carrano",10522,"R. K.","Denton, Jr.",W.,Gallagher,,1989,"Dinosaurs of the Ellisdale site, Late Cretaceous (Campanian) of New Jersey","Journal of Vertebrate Paleontology",,9,"3, suppl.",18A,,abstract,"stated without evidence",English,,,,,"2004-05-17 07:06:16","2005-10-03 13:21:14"
"M. Carrano","M. Carrano","M. Carrano",14702,"R. K.","Denton, Jr.","R. C.","O'Neill",,1993,"""Precocious"" squamates from the Late Cretaceous of New Jersey, including the earliest record of a North American iguanian","Journal of Vertebrate Paleontology",,13,"3, suppl.",32A,33A,abstract,"stated without evidence",English,,,ETE,,"2005-10-02 20:18:05","2005-10-03 13:18:25"
"J. Alroy","J. Alroy","J. Alroy",6959,"R. K.","Denton, Jr.","R. C.","O'Neill",,1998,"Parrisia neocesariensis, a new batrachosauroidid salamander and other amphibians from the Campanian of eastern North America","Journal of Vertebrate Paleontology",,18,3,484,494,"journal article","stated with evidence",English,,,,,"2002-08-20 14:56:58","2008-04-02 14:21:56"
"W. Clyde","J. Finarelli","J. Alroy",6256,P.E.P.,Deraniyagala,,,,1937,"Some Miocene and upper Siwalik [lower Pleistocene] vertebrates from Ceylon","Spolia zeylanica",,20,,191,198,"journal article","stated without evidence",English,,,5%,48800,"2002-05-16 11:41:18","2004-03-24 05:28:23"
"W. Clyde","L. Gannon","L. Gannon",10445,P.E.P.,Deraniyagala,,,,1937,"Some Miocene fishes from Ceylon","Ceylon Journal of Science",,20,,355,367,"journal article","stated without evidence",,,"Ceylon J. Sci. (B) Vol. XX, Pt. 3",,,"2004-05-05 08:29:06","2004-05-06 01:29:24"
"W. Clyde","J. Finarelli","L. Gannon",6063,P.E.P.,Deraniyagala,,,,1969,"Some Miocene vertebrates from Ceylon","Journal of the Palaeontological Society of India",,13,,20,23,"journal article","stated without evidence",English,,,5%,40140,"2002-03-21 08:43:04","2004-05-06 01:19:21"
"M. Uhen","M. Uhen",,15040,"P. E. P.",Deraniyagala,,,,1969,"A Miocene vertebrate faunule from the Malu member of Ceylon","Spolia Zeylanica",,31,II,1,17,"journal article","stated without evidence",English,,,,,"2005-11-02 13:54:34","2005-11-03 08:54:41"
"A. Miller","A. Hendy","A. Hendy",13699,"M. D.",Dermitzakis,M.V.,Triantaphyllou,,1997,"Biostratigraphical observations in Plicoene deposits of Heraklion Province","Geologie Mediterraneenne",,24,1-2,15,26,"journal article","stated without evidence",English,,"Keywords: algae; biostratigraphy; carbonate rocks; Cenozoic; Crete; diatomite; Europe; Foraminifera; Greece; Heraklion Greece; Invertebrata; microfossils; Mollusca; nannofossils; Neogene; planktonic taxa; Plantae; Pliocene; Protista; sedimentary rocks; Skythia Greece; Southern Europe; Tertiary",1%,2500,"2005-06-07 07:07:32","2005-06-08 00:07:32"
"M. Uhen","M. Uhen",,19085,A.,Desmoulins,,,,1822,Baleine,"Dictionnaire Classique d'Histoire Naturelle",,,,155,165,"book/book chapter","stated without evidence",French,,,,,"2006-10-30 06:43:45","2006-10-31 01:43:45"
"A. Miller","P. Novack-Gottshall","P. Novack-Gottshall",6377,J,Destombes,,,,1971,"L'ordovicien au Maroc; essai de synthese stratigraphique","Memoires du B.R.G.M.",,73,,237,263,"journal article","stated without evidence",French,,,,,"2002-06-05 07:25:22","2002-06-06 00:25:22"
"A. Miller","A. Hendy",,17925,"R. L.",Detterman,H.N.,Reiser,"W.P. Brosge, J.T. Dutro Jr",1975,"Post Carboniferous Stratigraphy, Northeastern Alaska","United States Geological Survey Professional Paper",,886,,1,46,"serial monograph","stated without evidence",English,,,,,"2006-07-08 17:25:11","2006-07-09 10:25:11"
"M. Patzkowsky","K. Layou",,230,J.,Deville,,,,1996,"Palaeontological Study of the Neerrepen Sands in the Francart Quarry (Tongeren, Belgium)","Natuurwetenschappelijk Tijdschrift",,75,3-4,75,97,,"stated without evidence",,,,,,"1999-08-09 04:39:04","1999-08-09 21:39:04"
"A. Hendy","A. Hendy",,19417,P.,Dheeradilok,N.,Chaimanee,"G. Piccoli, E. Robbia",1984,"On the Quaternary stratigraphy and fossls of Senanivate Housing Project area, Bangkok Metropolis","Memorie di Scienze Geologiche",,36,,413,426,"journal article","stated without evidence",English,,,,,"2006-12-17 11:52:51","2006-12-18 06:52:51"
"W. Kiessling","U. Merkel",,17883,"A. V.",Dhondt,E.,Jaillard,,2005,"Cretaceous bivalves from Ecuador and northern Peru","Journal of South American Earth Sciences",,19,,325,342,"journal article","stated without evidence",English,,,,,"2006-07-06 23:57:08","2006-07-07 16:57:08"
"M. Clapham","M. Clapham","M. Clapham",28048,"J. M.",Dickins,,,,1956,"Permian pelecypods from the Carnarvon Basin, Western Australia","Bureau of Mineral Resources, Geology and Geophysics Bulletin",,29,,1,42,"serial monograph","stated with evidence",English,,,,,"2008-08-24 12:28:34","2013-04-03 08:00:55"
"M. Clapham","M. Clapham","M. Clapham",27375,"J. M.",Dickins,,,,1957,"Lower Permian pelecypods and gastropods from the Carnarvon Basin, Western Australia","Bureau of Mineral Resources, Geology and Geophysics Bulletin",,41,,1,75,"serial monograph","stated without evidence",English,,,,,"2008-06-10 14:42:05","2013-04-03 07:54:58"
"D. Bottjer","M. Clapham","M. Clapham",11092,"J. M.",Dickins,,,,1961,"Eurydesma and Peruvispira from the Dwyka Beds of South Africa",Palaeontology,,4,1,138,148,"journal article","stated without evidence",,,,,,"2004-07-12 13:56:28","2004-07-13 06:56:28"
"P. Wagner","P. Wagner",,26677,"J. M.",Dickins,,,,1961,"The gastropod Platyteichum in the Permian of Western Australia",Palaeontology,,4,1,131,137,"journal article","stated without evidence",English,,,,,"2008-03-11 10:26:36","2008-03-12 04:26:36"
"M. Clapham","M. Clapham",,27926,"J. M.",Dickins,,,,1961,"Permian pelecypods newly recorded from eastern Australia",Palaeontology,,4,1,119,130,"journal article","stated without evidence",English,,,,,"2008-08-08 22:59:07","2008-08-09 15:59:07"
"P. Wagner","P. Wagner",,15626,"J. M.",Dickins,,,,1963,"Permian pelecypods and gastropods from western Australia","Bulletin of the Bureau of Mineral Resources, Geology and Geophysics",,63,,1,203,"serial monograph","stated without evidence",English,,,,,"2006-01-19 19:54:46","2006-01-20 14:54:46"
"M. Clapham","M. Clapham",,29742,"J. M.",Dickins,,,,1989,"Youngest Permian marine macrofossil fauna from the Bowen and Sydney basins, eastern Australia","BMR Journal of Australian Geology and Geophysics",,11,,63,79,"journal article","stated with evidence",English,,,,,"2009-04-17 17:11:34","2009-04-18 10:11:34"
"M. Clapham","M. Clapham",,33470,"J. M.",Dickins,,,,1999,"Mid-Permian (Kubergandian-Murgabian) bivalves from the Khuff Formation, Oman: implications for world events and correlation","Rivista Italiana di Paleontologia e Stratigrafia",,105,,23,36,"journal article","stated with evidence",English,,,,,"2010-08-28 19:32:03","2010-08-29 12:32:03"
"M. Clapham","M. Clapham",,42501,"J. M.",Dickins,"S. K.",Skwarko,,1981,"Upper Paleozoic pelecypods and gastropods from Irian Jaya, Indonesia","Geological Research and Development Centre, Paleontology Series",,2,,43,52,"journal article","stated with evidence",English,,,,,"2012-07-31 14:32:23","2012-07-31 14:32:23"
"A. Hendy","A. Hendy",,32335,"W. R.",Dickinson,"D. R.",Lowe,,1966,"Stratigraphic relations of phosphate- and gypsum-bearing Upper Miocene strata, upper Sespe Creek, Ventura County, California","Bulletin of the American Association of Petroleum Geologists",,50,11,2464,2481,"journal article","stated without evidence",English,,,,,"2010-03-24 12:16:15","2010-03-25 06:16:15"
"M. Clapham","P. Vazquez",,42223,"C. G.",Diedrich,,,,2009,"A coelacanthid-rich site at Hasbergen (NW Germany): taphonomy and palaeoenvironment of a first systematic excavation in the Kupferschiefer (Upper Permian, Lopingian)","Palaeobiodiversity and Palaeoenvironments",,89,,67,94,"journal article","stated with evidence",English,,,,,"2012-07-06 07:18:26","2012-07-06 07:18:26"
"M. Clapham","M. Clapham",,27602,C.,Diener,,,,1897,"The Permian fossils of the Productus Shales of Kumaon and Gurhwal","Palaeontologia Indica, Series 15",,1,3,1,54,"serial monograph","stated without evidence",English,,,,,"2008-07-14 06:36:29","2008-07-14 23:36:29"
"W. Kiessling","T. Schossleitner",,16953,G.,Dietl,A.,Etzold,,1977,"The Aalenian at the Type Locality","Stuttgarter Beiträge zur Naturkunde. Serie B (Geologie und Paläontologie)",,30,,1,13,"journal article","stated without evidence",English,,,,,"2006-03-22 11:35:28","2006-03-23 06:36:04"
"M. Aberhan","S. Nurnberg","S. Nurnberg",26538,"W. O.",Dietrich,,,,1933,"Zur Stratigraphie und Palaeontologie der Tendaguruschichten","Palaeontographica, Supplement VII/2, Teil 2",,,,1,86,"serial monograph","stated without evidence",German,,,,,"2008-02-22 01:45:08","2008-02-22 20:47:17"
"M. Uhen","M. Uhen",,27506,"D. L.",Dilcher,"T. A.",Lott,"B. J. Axsmith",2005,"Fossil plants from the Union Chapel Mine, Alabama","Pennsylvanian Footprints in the Black Warrior Basin of Alabama",,,,,,"book/book chapter","stated without evidence",English,,"Alabama Paleontological Society Monograph No. 1",,,"2008-06-29 17:06:26","2008-06-30 10:06:26"
"W. Clyde","J. Finarelli","J. Finarelli",10031,"R. V.",Dingle,I.K.,McMillan,"S. Majoran, L. Bisset    " ,2001,"Palaeo-oceanographical implications of Early–Middle Miocene subtropical ostracod faunas from the continental shelf of the SE Atlantic Ocean    " ,"Palaeogeography, Palaeoclimatology, Palaeoecology",,173,1-2,43,60,"journal article","stated without evidence",,,,,,"2004-03-15 11:11:17","2004-03-16 06:11:17"
"J. Alroy","M. Sommers","J. Alroy",22,"O. A.",Dixon,,,,1996,"Heliolitine corals of the Upper Douro Formation (Upper Silurian), Canadian Arctic Islands","Journal of Paleontology",,70,5,718,740,"journal article","stated without evidence",,,,,,"1999-02-25 12:04:34","2009-11-23 09:24:02"
"J. Alroy","M. Sommers","W. Kiessling",364,"O. A.",Dixon,,,,1998,"Heliolitine corals of the topmost Douro and overlying formations (Upper Silurian), Canadian Arctic Islands","Journal of Paleontology",,72,6,937,966,"journal article","stated with evidence",English,,,,,"1999-12-01 13:13:39","2006-10-04 19:24:29"
"J. Alroy","M. Sommers","J. Alroy",362,"O. A.",Dixon,,,,1999,"Upper Silurian heliolitine corals, Canadian Arctic: Taxonomic method, keys to identification, and biogeographic relationships","Journal of Paleontology",,73,6,1002,1014,"journal article","stated without evidence",,,,,,"1999-12-01 09:38:35","2009-11-23 09:25:29"
"M. Clapham","M. Clapham",,32403,M.,Dixon,"D. W.",Haig,,2004,"Foraminifera and their habitats within a cool-water carbonate succession following glaciation, Early Permian (Sakmarian), Western Australia","Journal of Foraminiferal Research",,34,,308,324,"journal article","none discussed",English,,,,,"2010-04-07 17:44:48","2010-04-08 10:44:48"
"L. Ivany","P. Wall","P. Wall",12516,"M. R.",Djalilov,,,,1992,"Late Cretaceous Trochactaeonids (Gastropoda)","Paleontological Journal",,26,1,47,53,"journal article","stated without evidence",,,,,,"2005-02-02 12:46:20","2005-02-03 07:46:20"
"M. Clapham","J. Karr","M. Clapham",41286,"G. M.",Dlussky,,,,1981,"Miocenovye muravwi (Hymenoptera, Formicidae) CCCP","Trudy Paleontologicheskogo Instituta",,183,,64,83,"serial monograph","stated with evidence",Russian,,,,,"2012-04-24 06:33:00","2013-04-07 06:27:28"
"M. Clapham","J. Karr",,34911,"I. A.",Dobruskina,"A. G.",Ponomarenko,"A. P. Rasnitsyn ",1997,"Fossil insect findings in Israel","Paleontological Journal",,31,5,528,533,"journal article","stated with evidence",English,,,,,"2011-01-28 11:32:28","2011-01-28 11:32:28"
"M. Kosnik","M. Kosnik","L. Eccles",11842,"D. T.",Dockery,,,,1980,"Invertebrate Macropaleontolgy of the Clarke County Mississippi Area","Bulletin - Mississippi Geological, Economic and Topographic Survey",,122,,,,"serial monograph","stated with evidence",English,,,,,"2004-10-22 21:31:32","2011-03-08 09:25:41"
"L. Ivany","S. DeLong",,323,"D. T.",Dockery,,,,1982,"Lower Oligocene Bivalvia of the Vicksburg Group in Mississippi","Mississippi Department of Natural Resources Bureau of Geology",,123,,1,261,,"stated without evidence",,,,,,"2002-03-04 16:40:30","2002-03-05 11:40:30"
"M. Kosnik","M. Kosnik",,465,"D. T.",Dockery,,,,1993,"The Streptoneuran gastropods, exclusive of the Stenoglossa, of the coffee sand (Campanian) of Northeastern Mississippi","Bulletin (Mississippi Office of Geology)",,129,,1,191,,"stated without evidence",,,,,,"2002-03-04 16:40:30","2002-03-05 11:40:30"
"M. Patzkowsky","K. Layou",,258,"D. T.","Dockery, III","S. P.",Jennings,,1988,"Stratigraphy of the Tupelo Tongue of the Coffee Sand (upper Campanian), northern Lee County, Mississippi","Mississippi Geology",,9,1,1,7,,"stated without evidence",,,,,,"1999-08-11 04:32:57","1999-08-11 21:32:57"
"J. Alroy","J. Alroy","J. Alroy",19647,"A. E.",Dodonov,"A. L.",Tchepalyga,"C. D. Mihailescu, L. P. Zhou, A. K. Markova, V. M. Trubikhin, A. N. Simakova, E. G. Konikov",2000,"Last-interglacial records from central Asia to the northern Black Sea shoreline: stratigraphy and correlation","Geologie en Mijnbouw / Netherlands Journal of Geosciences",,79,2/3,303,311,"journal article","stated without evidence",English,,"pollen data not entered (sorry)",,,"2007-01-14 17:51:32","2007-02-06 10:09:53"
"A. Hendy","A. Hendy",,28288,"L. A.",Doguzhaeva,"R. H.",Mapes,"H. Mutvei",2003,"The shell and ink sac morphology and ultrastructure of the late Pennsylvanian cephalopod Donovaniconus an its phylogenetic significance","Berliner Paläobiol. Abh.",,3,,61,78,"journal article","stated without evidence",English,,,,,"2008-10-19 18:36:43","2008-10-20 12:36:43"
"J. Alroy","J. Alroy","J. Alroy",25442,S.,Dominici,T.,Kowalke,,2007,"Depositional dynamics and the record of ecosystem stability: early Eocene faunal gradients in the Pyrenean foreland, Spain",Palaios,,22,3,268,284,"journal article","stated without evidence",English,,,,,"2007-10-08 18:24:35","2007-10-10 04:03:21"
"M. Uhen","M. Uhen","M. Uhen",6029,"D. P.",Domning,,,,1978,"Sirenian evolution in the North Pacific Ocean","University of California Publications in Geological Sciences",,118,,1,176,"journal article","stated without evidence",English,,,5%,34240,"2002-03-12 11:25:29","2006-09-29 03:07:23"
